,code,ter,tc,tic
0,BEPFB4,1.50,1.03,
1,BEPFB3,0.16,1.03,
2,BEPFB1,2.27,1.03,
3,BEPFA5,1.06,1.03,
4,PBFA1,0.69,0.03,
5,FEPA2,0.93,0.54,
6,BFPB2,1.43,0.44,
7,ASPCD,1.66,0.14,
8,CSMHB1,0.93,0.47,
9,BEPFB2,1.30,1.03,
10,ASPCA,2.18,0.14,
11,DWWBI,2.18,0.56,
12,DTR50B,1.93,0.56,
13,DTR50,2.68,0.56,
14,SCPB3,0.58,0.39,
15,SCPB2,0.06,0.39,
16,SCPB1,0.37,0.39,
17,AWSMF,1.45,0.35,
18,SIFB8,1.05,0.00,
19,MMOEA,0.03,,
20,MOOFD,0.02,,
21,MOOFC,0.52,,
22,MOOFB,0.46,,
23,MOOFA,0.41,,
24,MCSB3,0.23,0.08,
25,MCSB1,0.40,0.08,
26,MCSA2,1.02,0.08,
27,MCSA1,1.57,0.08,
28,STSB4,1.59,0.03,
29,SIFA1,1.19,0.00,
30,BIGFA,1.74,0.74,
31,EBMFA,2.06,0.48,
32,BBGPB,1.43,0.31,
33,BBGPA,1.83,0.31,
34,ABWWFC,1.46,2.93,
35,AWFFA,3.01,2.93,
36,IWIEH,1.17,0.30,
37,IWIBH,1.65,0.17,
38,MEYB7,0.30,0.00,
39,BEPFA4,1.01,1.03,
40,BEPFA3,1.30,1.03,
41,BEPFA2,1.58,1.03,
42,BEPFA1,1.21,1.03,
43,FUFB4,1.56,0.00,
44,BFPB1,1.10,0.44,
45,SIFA2,0.91,0.00,
46,OLEB1,1.97,,
47,OGCB1,0.70,0.03,
48,CBEFA,1.02,0.76,
49,OMHB,0.99,0.23,
50,OGQS,3.34,0.18,
51,OOFS,1.74,,
52,OMGS,2.44,0.02,
53,OGTB,0.72,0.02,
54,OMFFC,3.28,0.20,
55,FEFCC,2.52,0.20,
56,MOEB1,0.92,0.15,
57,NFSCC,1.44,0.06,
58,NFBA,2.60,0.11,
59,PPEB2,1.37,0.55,
60,PEPB5,1.14,0.25,
61,PIPB4,2.98,0.11,
62,DYFS,2.98,0.07,
63,DYFB,1.27,0.07,
64,OMSS,3.24,0.14,
65,NFSB,2.92,0.06,
66,NFSA,2.58,0.06,
67,NFBCC,1.46,0.11,
68,NFBB,2.94,0.11,
69,PSFB2,1.23,0.00,
70,SUCB,0.01,,
71,PSFA1,2.26,0.00,
72,PEPB2,0.97,0.25,
73,PEIB5,1.13,0.16,
74,PEIB4,2.84,0.16,
75,ISIUTB,0.05,0.00,
76,PEIB2,0.95,0.16,
77,PIPB5,1.27,0.11,
78,PIPB2,1.10,0.11,
79,PSFB4,3.40,0.00,
80,PEPB4,2.85,0.25,
81,OMLB,0.45,0.23,
82,OMRB,0.87,0.03,
83,MICC,2.63,0.09,
84,MICB,0.97,0.09,
85,OMTS,2.97,0.37,
86,OMIGC,4.21,,
87,OMIFC,2.41,,
88,OMHS,2.59,0.23,
89,OMTFC,2.55,0.37,
90,OMCFB,0.84,0.37,
91,OMSCC,3.04,0.07,
92,OMGCB,1.33,0.07,
93,OMRS,2.87,0.03,
94,OMMMC,2.13,0.00,
95,EFFB,2.76,0.18,
96,OMMRC,2.88,,
97,MOEB3,0.06,,
98,OMIB,2.43,0.00,
99,PACC,3.32,0.32,
100,PACB,2.35,0.32,
101,PAWC,2.64,0.32,
102,PMMC,2.03,0.02,
103,PCQFB5,0.47,0.00,
104,PGHC,3.44,0.04,
105,POFC,3.27,0.19,
106,PGCV,0.02,0.26,
107,PREA1,1.03,0.19,
108,PIPFB7,0.26,0.02,
109,PEQB5,0.21,0.06,
110,PEAB1,0.64,0.57,
111,PEQB3,0.04,0.06,
112,PSBB1,0.77,0.25,
113,PGQF,1.43,0.00,
114,PPRQB3,0.02,0.05,
115,PBFF,1.34,0.25,
116,PGCA2,2.29,0.00,
117,PIPFB5,0.58,0.02,
118,PGGA1,2.55,0.00,
119,PIPFB6,0.47,0.02,
120,PIPFB4,0.35,0.02,
121,PIPFB3,0.01,0.02,
122,PIPFB2,0.29,0.02,
123,PIPFB1,0.41,0.02,
124,PIPF,0.86,0.02,
125,PBQB1,0.45,0.14,
126,PRQA1,0.81,0.57,
127,ISPEUB,0.02,,
128,MCPD,2.28,0.02,
129,PEAB2,0.36,0.57,
130,PGCA1,2.50,0.00,
131,PBQB3,0.05,0.14,
132,PCQF,0.58,0.00,
133,PFIB,0.02,0.00,
134,PPSM,1.77,0.15,
135,PPFI,1.20,0.03,
136,PPSE,1.74,0.28,
137,PPEC,0.76,0.00,
138,PPSC,1.62,0.05,
139,PCQFB3,0.01,,
140,PAIB,1.57,0.04,
141,PBQB2,0.33,0.14,
142,PEQF,0.61,0.06,
143,PPFM,1.96,0.20,
144,PTPF,2.13,0.11,
145,PETP,1.44,0.16,
146,PTIC,1.57,0.01,
147,PTCMF,1.41,0.14,
148,PSFB5,1.69,0.00,
149,SITB1,0.34,0.00,
150,SIATA,0.53,0.00,
151,AGDC,1.97,0.08,
152,AGDA,2.25,0.08,
153,AEPA1,1.05,0.84,
154,SBLB1,0.01,0.00,
155,SGEB1,2.69,0.00,
156,SIAB1,0.91,0.00,
157,SMEB3,0.05,0.00,
158,SMEYF,0.45,0.00,
159,SMDB1,1.32,0.00,
160,SMFB1,0.69,0.00,
161,CGEA1,0.77,0.27,
162,AGEB3,0.16,0.44,
163,AGEB2,0.44,0.44,
164,AGEB1,0.61,0.44,
165,AGEA1,0.84,0.44,
166,AEPB2,0.60,0.84,
167,AMPB3,0.60,0.80,
168,AEPB1,0.83,0.84,
169,STMSB1,1.28,0.03,
170,STMSA,2.12,0.03,
171,SMFP2,0.34,0.05,
172,SMEY1,0.62,0.00,
173,SMDB2,0.83,0.00,
174,WABA,0.53,0.12,
175,MSSFF,1.74,0.04,
176,CGEPC,1.44,0.27,
177,CEGB3,0.08,0.27,
178,CEGB1,1.06,0.27,
179,MAIPA,2.10,0.32,
180,MADB1,1.42,0.15,
181,MAICA,1.87,0.15,
182,MAIB1,1.55,0.23,
183,MAIBA,2.00,0.23,
184,CPSCA,1.25,0.22,
185,CPGCA,1.53,0.23,
186,CHSA,0.49,0.42,
187,MSGFF,2.22,0.06,
188,MSBFF,1.80,0.06,
189,SCOIB,1.29,0.00,
190,SCOIA,1.74,0.00,
191,MUPB1,1.66,0.32,
192,RBGFA,1.63,0.00,
193,CABFA,0.49,0.00,
194,BBWFA,3.22,0.21,
195,ABGEA,2.70,0.05,
196,ABWOF,2.08,0.21,
197,ABSFA,1.66,0.12,
198,ABMFA,1.56,0.20,
199,SBIMB5,0.81,0.00,
200,SBIMB4,0.01,0.00,
201,SBIMB3,0.18,0.00,
202,SBIMB2,0.24,0.00,
203,SIMB14,0.45,0.00,
204,SIB13,0.58,0.00,
205,SBIMB1,0.29,0.00,
206,SBB12,0.93,0.00,
207,SCMB8,0.12,0.00,
208,SMPB,1.40,,
209,SCB3,0.30,0.00,
210,SCB2,0.35,0.00,
211,SCMB13,0.58,0.00,
212,SCB1,0.47,0.00,
213,SMCB3,0.66,,
214,SAEF,1.85,,
215,SADB3,1.31,,
216,SADF,1.56,0.15,
217,SABB3,1.16,,
218,SAOF,1.43,0.57,
219,SCMB7,0.08,0.00,
220,SBB6,0.00,,
221,SCB5,0.18,0.00,
222,SCB4,0.24,0.00,
223,SPSC,2.96,0.16,
224,SPSA,1.80,0.16,
225,SLSC,0.00,,
226,SLSA,1.95,0.33,
227,SBSA,1.87,0.24,
228,SITCC,2.82,0.50,
229,STD2,1.75,0.06,
230,LII3,1.16,0.06,
231,SAF1,0.90,0.13,
232,STM3,1.28,0.00,
233,STM2,1.96,0.00,
234,STMB13,0.65,0.00,
235,SIMB9,0.13,0.00,
236,SBIMB7,0.46,0.00,
237,SBIMB6,0.35,0.00,
238,SBSC,2.56,0.24,
239,STFB6,0.63,0.05,
240,STAB5,2.38,0.06,
241,SAI4,2.04,0.06,
242,SAI2,0.11,0.05,
243,SAI1,1.02,0.06,
244,SAF4,2.42,0.13,
245,SAEB3,2.96,1.37,
246,SAEB1,4.04,1.37,
247,SMB4,1.45,0.00,
248,STMB14,0.88,0.00,
249,STCB1,0.02,0.50,
250,SNBN,0.12,,
251,SMCFB2,2.51,0.05,
252,SMCFB1,0.97,0.05,
253,SMAB2,2.63,0.21,
254,SMAB1,0.80,0.21,
255,SIPCB,0.34,0.09,
256,SIPB7,1.01,0.09,
257,SIPB6,0.76,0.09,
258,SAIB4,0.80,0.09,
259,STCB5,0.95,0.50,
260,STTB4,1.19,0.50,
261,STCB2,1.14,0.50,
262,SDIT,0.24,,
263,SMFB,0.01,,
264,SMMB2,2.60,0.14,
265,SMMB1,0.79,0.14,
266,SMMAB1,0.78,0.18,
267,SMCB2,2.75,0.10,
268,SMCB1,0.99,0.10,
269,SMMAB2,2.59,0.18,
270,SIBCC,3.48,0.01,
271,SGBB2,1.77,0.01,
272,SIGB1,0.30,0.01,
273,SIGA1,2.05,0.01,
274,SAFB3,0.02,0.02,
275,SIACC,2.41,0.01,
276,SIAB4,0.70,0.01,
277,SAIFB3,0.89,0.01,
278,SAIFB2,0.47,0.01,
279,SLB2,0.11,,
280,SAIL,2.51,0.09,
281,BRDA,3.62,0.12,
282,SVIF,0.02,,
283,SAVB3,1.17,0.30,
284,SAVFB2,0.72,0.30,
285,SAVB,2.42,0.30,
286,SASB3,0.73,0.31,
287,SASB2,1.07,0.31,
288,SASC,2.47,0.31,
289,SABB2,0.25,0.02,
290,SBFCB,0.36,0.16,
291,SBB4,0.72,0.16,
292,SBCB3,1.09,0.16,
293,SABB,2.52,0.16,
294,SPTB,1.36,0.16,
295,SAIFB1,0.01,0.01,
296,MSEF,1.87,0.18,
297,SPFB2,0.02,,
298,SAPFB1,0.70,0.07,
299,EIGFB,3.19,0.03,
300,EIGFA,3.19,0.03,
301,WMICC,3.35,0.29,
302,WMICB,3.66,0.25,
303,WMICA,3.79,0.24,
304,SMGMC,2.23,0.07,
305,SMFGC,2.26,0.11,
306,SMFIA,0.81,0.00,
307,MMPB,2.16,0.06,
308,MEBA1,1.59,0.06,
309,GGECB,1.01,0.15,
310,GGECA,2.08,,
311,SYVCA,1.83,0.55,
312,SYABA,0.42,0.10,
313,SYECB,0.75,,
314,SYECA,1.23,0.22,
315,SAECA,1.13,0.77,
316,ISFLC,1.85,0.00,
317,ISFCB,1.46,0.00,
318,ISFAC,2.01,0.00,
319,SMRB2,0.86,0.06,
320,SMMDFA,1.89,0.00,
321,SMMFB3,0.37,0.04,
322,SSBSA,0.45,0.10,
323,SYABB,0.15,,
324,CMFCB,0.11,0.46,
325,CASCB,0.75,0.25,
326,CIPCB,0.78,0.33,
327,CELCB,0.90,0.51,
328,CAFCB,0.50,0.65,
329,BIPFA,1.10,0.01,
330,BIPFB,0.16,0.01,
331,SAIB8,1.40,0.01,
332,ASACD,0.64,0.06,
333,ASACA,1.48,0.06,
334,AAFCD,1.35,0.35,
335,AAFCA,1.96,0.35,
336,AAECD,1.16,0.46,
337,ASECA,1.78,0.46,
338,CAYB2,0.67,0.00,
339,DBWFFA,2.31,0.43,
340,ABICC,2.17,,
341,APECD,0.81,0.49,
342,ALCCC,0.86,,
343,ASECD,0.85,0.06,
344,AMFCD,0.60,0.28,
345,ABBCD,0.50,0.23,
346,ABACD,0.56,0.02,
347,AWPCD,1.54,0.16,
348,AWPCA,2.13,0.16,
349,LREC,1.36,0.15,
350,SMMA,3.08,0.12,
351,STMMB1,1.60,0.12,
352,SFB1,1.16,0.35,
353,SEFF,1.81,0.01,
354,SIP3,0.01,0.16,
355,SIBFB4,2.44,0.05,
356,STIBB3,0.59,0.05,
357,STIBB1,1.19,0.05,
358,LIFD,0.38,0.00,
359,SMT1,0.60,0.30,
360,SMFF,2.85,0.35,
361,SMF2,0.59,0.35,
362,SPI4,2.84,0.00,
363,SIPB,1.36,0.00,
364,SICFB1,2.01,0.00,
365,SBI4,3.59,0.00,
366,SIBFB1,1.87,0.00,
367,SIB2,0.10,0.16,
368,SIFB,1.03,0.16,
369,SEI4,3.67,0.01,
370,SIEB1,2.44,0.01,
371,SCI4,3.78,0.00,
372,STIB5,0.10,0.00,
373,IFB4,1.85,0.00,
374,SIB1,0.00,,
375,FIB4,2.03,0.00,
376,SEFB7,2.86,0.00,
377,STEF,3.90,0.00,
378,STEFB1,2.16,0.00,
379,SFB2,0.55,0.00,
380,SBB1,1.14,0.01,
381,SCF4,2.12,0.03,
382,STCPB5,0.86,0.00,
383,SCP3,0.35,0.00,
384,STGB6,0.86,0.32,
385,SCGF,2.40,0.32,
386,SBFR,0.85,0.00,
387,BFB4,2.09,0.00,
388,SBF1,0.46,0.00,
389,SDB5,0.86,0.01,
390,SFF4,2.38,0.01,
391,STFF,0.01,0.01,
392,SCBB,0.59,0.00,
393,SCF1,0.84,0.03,
394,SBCB4,3.02,0.06,
395,SBCB2,0.95,0.06,
396,SBCB1,1.23,0.06,
397,SBCFA,1.80,0.06,
398,STD3,2.35,0.06,
399,AMWFA,1.29,0.02,
400,AMFOA,3.11,0.39,
401,AMEFB,0.92,0.68,
402,AMEFA,1.23,0.68,
403,KSPB5,3.13,0.02,
404,KSPB4,3.25,0.02,
405,KSPB1,1.58,0.02,
406,KSPFA,1.69,0.02,
407,KSGB5,3.21,0.00,
408,KSGB4,3.37,0.00,
409,PBIB2,1.23,0.06,
410,PBIB1,1.52,0.06,
411,POBB1,1.78,0.07,
412,AMWFB,0.68,0.02,
413,LFPB3,0.03,0.55,
414,LFPA2,0.60,0.55,
415,LFPA1,1.84,0.55,
416,FIFB2,1.62,0.00,
417,FIFFU,1.73,0.00,
418,FFCB2,1.08,0.00,
419,AMRC1,0.84,0.06,
420,AMFC1,1.09,0.28,
421,AAFC1,0.99,0.02,
422,ABFC1,1.04,0.23,
423,ASEC1,1.14,0.06,
424,AMBC1,0.59,0.00,
425,AMRRD,0.72,0.13,
426,AMRRC,0.81,0.12,
427,AFMCA,2.14,0.05,
428,FOFLF,1.22,0.00,
429,SEFCA,1.22,0.87,
430,ADUF1,0.56,0.07,
431,ARRF1,0.39,0.01,
432,APEF1,0.55,0.02,
433,ADEF1,0.33,0.15,
434,ADAF1,0.38,0.07,
435,STPROP,0.37,0.03,
436,FBFB3,0.94,0.20,
437,FECB2,0.81,0.20,
438,FOEFU,0.98,0.20,
439,AHGF1,0.59,0.24,
440,SPBB3,1.27,0.21,
441,SPBB1,0.13,0.21,
442,PMMB2,0.07,0.02,
443,PMMB1,0.07,0.01,
444,PMMA1,0.16,0.01,
445,FBCB3,1.08,0.08,
446,FBCB2,1.17,0.08,
447,FOBFU,1.34,0.08,
448,FOBCB,0.43,0.07,
449,ABFIA,1.16,0.07,
450,VAGFC,2.18,0.63,
451,TREB1,1.25,0.61,
452,TIFCC,1.10,0.57,
453,RCICC,1.55,0.54,
454,PIWCC,2.09,0.56,
455,GIOFC,1.25,0.09,
456,EIMFC,1.84,1.88,
457,LFPB4,1.17,0.55,
458,RESC1,1.08,0.10,
459,RESTC,0.73,0.10,
460,REST,1.22,0.10,
461,TIECC,1.45,0.30,
462,MVIPC,1.25,0.03,
463,MHCFC,0.91,0.22,
464,MIDCC,0.88,0.29,
465,MIDCA,1.30,0.42,
466,MPWB6,1.33,0.45,
467,MGMB6,0.97,0.15,
468,RESTT,1.02,0.10,
469,RESTZ,0.20,0.10,
470,PFCB,1.30,0.10,
471,WMEFC,1.09,0.35,
472,WMEFB,1.35,0.34,
473,WMEFA,2.29,0.35,
474,CGEFP,1.38,0.22,
475,CJFCP,0.31,0.00,
476,ABMFB,1.43,0.52,
477,ABMF,1.97,0.50,
478,PFMB,1.33,0.15,
479,PFMA,1.39,0.13,
480,PFCA,1.36,0.10,
481,CGSB3,1.55,0.22,
482,CGEFA,1.84,0.22,
483,CPFCP,1.15,0.05,
484,CBFCP,0.43,0.00,
485,CMFFB,0.49,0.44,
486,ABEFB,0.72,0.77,
487,ABEFA,1.20,0.77,
488,MSCBB,2.04,0.04,
489,MSBA,2.10,0.03,
490,MSGB,2.07,0.05,
491,MSGA,2.13,0.04,
492,MSSB,1.66,0.09,
493,MSSA,1.72,0.11,
494,PFBB,1.51,0.26,
495,PFBA,1.57,0.26,
496,CPEB2,0.06,,
497,CSAPE,1.19,0.20,
498,MWDC,1.78,0.15,
499,MPFC,1.55,0.14,
500,MHIC,1.20,0.01,
501,SMF4,2.26,0.07,
502,SMF1,0.86,0.07,
503,SMC4,2.20,0.06,
504,SMC1,0.86,0.06,
505,SMA4,2.40,0.12,
506,SMA1,0.93,0.12,
507,SBMF,1.24,0.09,
508,SBIA,1.32,0.10,
509,SRB3,0.30,0.06,
510,SMB1,1.43,0.06,
511,SME4,2.43,0.07,
512,STI3,0.13,0.00,
513,STI1,0.96,0.00,
514,SMM4,3.17,0.04,
515,MFB5,2.75,0.05,
516,SFPF,0.07,0.05,
517,SMCB,1.16,0.05,
518,BKSMF,2.21,0.18,
519,NIGCC,0.66,0.05,
520,NICCB,0.49,0.05,
521,SADI,0.99,0.00,
522,STB4,2.87,0.06,
523,SML4,2.19,0.04,
524,SMI4,2.03,0.00,
525,STI2,0.79,0.00,
526,SEMM,0.04,0.15,
527,LREB,0.88,0.15,
528,CSAIF,0.59,0.01,
529,TRPB1,1.58,0.77,
530,TNICB,1.59,0.77,
531,TNICA,2.16,0.77,
532,SADCA3,1.27,0.00,
533,SADCA2,1.28,0.00,
534,SADCA4,0.42,0.00,
535,RCGFC,0.02,0.15,
536,RCECD,1.87,0.30,
537,RCFFB,1.30,0.30,
538,PRBB3,0.20,0.03,
539,PRBA2,0.55,0.03,
540,CGRF,2.11,0.01,
541,PAPD,1.22,0.08,
542,PAID,0.88,0.04,
543,ASEFA,0.60,0.34,
544,RAEF,2.98,0.13,
545,RCGFA,0.01,0.15,
546,RCFFC,0.16,0.30,
547,RCGFD,0.02,0.15,
548,SGB1,0.03,,
549,SBTB,0.73,,
550,SNAT,0.06,0.00,
551,SABB4,1.44,0.76,
552,SABO,0.98,0.76,
553,RMMB5,0.89,0.00,
554,RMI3,1.57,0.00,
555,RMBO,2.20,0.00,
556,PPQF,1.07,0.05,
557,RIEB2,1.18,0.00,
558,SFF1,0.09,,
559,SMIA,0.02,0.00,
560,SIBF,1.84,,
561,SIBO,2.59,,
562,SANO,0.02,,
563,SAIB2,0.71,,
564,RFB2,1.79,0.06,
565,RBMB7,1.00,0.00,
566,RMIB6,0.43,0.00,
567,RMI2,1.23,0.00,
568,SGEO,1.29,0.76,
569,SNMG,0.01,0.76,
570,SABT,0.62,0.00,
571,SMIB,0.51,0.00,
572,SBB2,1.42,0.76,
573,SNMO,0.57,0.76,
574,SIF1,2.41,0.20,
575,SGFI,0.03,0.18,
576,SGEB3,1.61,0.14,
577,SEGB,3.44,0.14,
578,SMPB4,1.40,,
579,SPR1,0.93,,
580,SRB2,1.50,,
581,SGIB,0.88,0.18,
582,SGB2,0.03,0.18,
583,SGTA,2.01,0.14,
584,SGIT,0.94,0.71,
585,GIB2,0.03,0.71,
586,SAGI,0.39,0.71,
587,SAGEB5,0.68,0.29,
588,SRB1,0.45,,
589,SPRB4,1.22,,
590,SRTB,0.89,0.30,
591,SMPA,0.26,0.30,
592,SMPB5,0.73,,
593,SMPR,0.82,,
594,SMIP,0.03,,
595,SPRO,0.83,0.70,
596,SPB2,0.57,0.70,
597,SNMP,0.03,0.70,
598,CSEFB3,0.98,0.28,
599,ACBFB,1.67,0.15,
600,ACBA,1.73,0.15,
601,ACMFB,1.67,0.13,
602,ACMA,1.73,0.13,
603,ACCB,1.68,0.07,
604,AMCFA,1.73,0.07,
605,MSDB,1.59,0.12,
606,MMCB,1.45,0.06,
607,MPAB,1.44,0.11,
608,AABCFC,1.08,0.06,
609,AABGFC,0.84,0.12,
610,CSEFP,0.81,0.28,
611,CSEFA,1.26,0.28,
612,AABBFC,1.08,0.08,
613,PMMB,0.20,0.14,
614,DTR45B,1.22,0.31,
615,DTR45,1.97,0.31,
616,SMSB9,1.91,0.16,
617,SMBA2,1.68,0.57,
618,EGEA,1.33,0.30,
619,SAAB9,1.85,0.31,
620,SMAA2,1.48,0.31,
621,SIEC1,2.85,0.53,
622,SMDC1,2.15,0.15,
623,SMEA2,2.01,0.53,
624,SPSB4,1.75,0.16,
625,SMLB9,2.07,0.33,
626,SMPA2,1.62,0.16,
627,SMSB4,1.90,0.33,
628,ABMFS,1.46,0.17,
629,ABMFF,1.41,0.10,
630,SMDA2,1.83,0.15,
631,SMBC1,2.60,0.57,
632,SASB9,1.99,0.24,
633,SMTA2,1.78,0.33,
634,SASB4,1.82,0.24,
635,SAFB9,1.93,0.28,
636,SASA2,1.70,0.24,
637,SACB9,1.78,0.08,
638,OCBSF,1.63,0.02,
639,OCINFF,0.85,0.00,
640,OBSFF,1.85,0.02,
641,PRICB,1.09,0.00,
642,PMOF,0.46,0.00,
643,GDIC2,0.08,0.00,
644,ABMF4,1.37,0.08,
645,ABMFT,1.31,0.06,
646,SGFFB1,2.03,0.46,
647,SGFFA1,2.31,0.46,
648,KSGB1,1.55,0.00,
649,27FPC,2.93,0.16,
650,27PA1,1.22,0.16,
651,MMDC,3.27,0.04,
652,MMDB,2.12,0.04,
653,MEMA1,1.54,0.04,
654,MHYC,2.80,0.05,
655,MHYB,1.65,0.05,
656,MEHA1,1.09,0.05,
657,MMBC,3.30,0.06,
658,KSGFA,1.64,0.00,
659,KSFB5,3.23,0.18,
660,KSFB4,3.34,0.18,
661,KSFB1,1.68,0.18,
662,KSFFA,1.79,0.18,
663,KSBB5,3.19,0.04,
664,KSBB4,3.31,0.04,
665,KSBB1,1.64,0.04,
666,27FBC,2.97,0.26,
667,27BA1,1.26,0.26,
668,KSBFA,1.72,0.04,
669,SMMB8,0.29,0.02,
670,SEIB2,0.01,0.00,
671,SPBB2,0.01,0.00,
672,NEIFR,0.88,0.03,
673,SPRB6,1.46,0.30,
674,AIBC1,1.00,0.01,
675,IGEC,1.44,0.36,
676,IGEB,1.16,0.36,
677,IGEA,2.29,0.36,
678,4DAS1,2.52,0.30,
679,4DCS1,2.28,0.12,
680,EFPCC,2.66,0.13,
681,MMCB5,1.36,0.35,
682,MOPB9,0.99,0.07,
683,MIIB7,0.65,0.01,
684,MIEM1,1.18,0.00,
685,MICM1,0.98,0.00,
686,MIBM1,2.11,0.00,
687,MFEB3,1.77,0.19,
688,4DMS1,2.29,0.29,
689,MIPB8,0.94,0.03,
690,MFFB4,1.76,0.09,
691,MFSB3,1.85,0.14,
692,MEB12,1.10,0.13,
693,MFTB4,1.61,0.03,
694,MOCB5,1.04,0.13,
695,MDYB7,0.74,0.01,
696,MOB11,0.66,0.07,
697,MOEB8,1.16,0.06,
698,CGCB4,1.42,0.14,
699,CCPB5,1.24,0.07,
700,CBDB4,1.33,0.06,
701,VALI,1.57,0.25,
702,WWFH,1.60,0.19,
703,VALH,1.80,0.25,
704,PPFH,0.98,0.05,
705,CGEB1,3.37,0.24,
706,AFEA2,2.36,,
707,AFEA1,2.93,,
708,CGMB4,1.23,0.20,
709,CSIB4,0.53,0.01,
710,CGEB3,1.65,0.24,
711,CBFB4,1.17,0.12,
712,CTTB4,0.52,0.28,
713,SMFA2,1.70,0.28,
714,SCCA2,0.64,0.08,
715,PHIFD,0.42,0.01,
716,PHIFB,0.02,0.01,
717,PHIFA,0.64,0.01,
718,SYSCB,0.87,0.19,
719,SYCCB,0.82,0.16,
720,SAMB9,2.04,0.18,
721,SNMB9,1.72,0.20,
722,SMCA2,1.31,0.18,
723,LPCB1,1.93,0.09,
724,SMGA2,1.31,0.20,
725,LPOB1,2.13,0.33,
726,MCEFB3,0.15,0.65,
727,SMMAC,3.34,0.31,
728,SYGCB,0.68,0.08,
729,LPGB1,2.69,0.06,
730,LYPB1,2.02,0.18,
731,MCEFB1,0.69,0.65,
732,MCEFA,0.97,0.65,
733,SMMAB,1.06,0.31,
734,SMMAF,1.41,0.31,
735,SMACC,3.21,0.20,
736,SMACB,0.93,0.20,
737,SMACA,1.29,0.20,
738,SIMB4,2.65,0.21,
739,SMMB4,2.60,0.14,
740,AFEB3,1.23,,
741,SMMFC,3.02,0.28,
742,SMMFB,1.14,0.28,
743,SMMMA,1.48,0.28,
744,CSEW40,0.31,0.00,
745,BGFFC,1.43,0.12,
746,BBSFE,1.25,0.34,
747,BBSFD,1.09,0.33,
748,BBIFE,0.03,0.07,
749,BBFFD,0.39,0.04,
750,OGEB3,1.60,,
751,OGEFA,2.74,0.29,
752,MOCB1,1.68,0.03,
753,MOAB1,1.91,0.14,
754,NISA,1.50,0.03,
755,BCBFB,0.99,0.21,
756,BCBFA,1.18,0.16,
757,ABEF,2.97,0.33,
758,PBGE,0.80,0.03,
759,EBCC,2.05,0.18,
760,CBRFC,1.34,0.02,
761,CBCFC,1.89,0.09,
762,CBBFC,1.95,0.18,
763,FIFB3,0.44,0.37,
764,MOBB1,1.81,0.09,
765,BBCFE,0.97,,
766,ISPCI,0.42,0.01,
767,IMBF,1.83,0.06,
768,FEGB2,1.34,0.00,
769,FGECR,1.62,0.00,
770,BCSE,1.63,0.80,
771,BCSEC,2.10,0.67,
772,PBCE,1.01,0.55,
773,FIFA2,2.27,0.37,
774,FIFA1,1.70,0.37,
775,BBBB1,1.34,0.21,
776,BBBFE,1.60,0.20,
777,BCBFD,2.24,0.19,
778,FEGB1,1.45,0.00,
779,AMFB1,0.51,0.21,
780,ASMFFA,0.66,0.21,
781,AGFB1,0.44,0.11,
782,MSTB,2.00,0.08,
783,MSTA,1.53,0.08,
784,MPRD,2.48,0.22,
785,BAEFD,1.48,0.54,
786,MPRU,2.02,0.22,
787,PPSCB,0.48,0.32,
788,PPSCA,1.83,0.32,
789,PMTA1,1.28,0.65,
790,FVSB3,0.05,0.10,
791,FVSB2,1.04,0.10,
792,FASB1,1.44,0.10,
